id,internship_role,branch,required_skills,interest,min_cgpa,mode,location
92,Data Analyst Intern,Mechanical,Python;SQL;Excel,Analytics,6.0,Hybrid,Mumbai
93,Python Developer Intern,Civil,Python;OOP,Software,6.5,Onsite,Bengaluru
94,Web Developer Intern,Electrical,HTML;CSS;JavaScript,Web,7.0,Remote,Hyderabad
95,Java Developer Intern,AI & DS,Java;OOP,Software,7.5,Hybrid,Chennai
96,Cyber Security Intern,ECE,Linux;Networking,Security,8.0,Onsite,Delhi
97,Cloud Intern,Computer,AWS;Linux,Cloud,8.5,Remote,Noida
98,Android Developer Intern,IT,Java;Kotlin,Mobile,9.0,Hybrid,Ahmedabad
99,UI/UX Intern,Electronics,Figma;Canva,Design,6.0,Onsite,Kolkata
100,Business Analyst Intern,Mechanical,Excel;SQL;Power BI,Analytics,6.5,Remote,Nagpur
101,AI Intern,Civil,Python;Machine Learning;Pandas,AI,7.0,Hybrid,Pune
102,Data Analyst Intern,Electrical,Python;SQL;Excel,Analytics,7.5,Onsite,Mumbai
103,Python Developer Intern,AI & DS,Python;OOP,Software,8.0,Remote,Bengaluru
104,Web Developer Intern,ECE,HTML;CSS;JavaScript,Web,8.5,Hybrid,Hyderabad
105,Java Developer Intern,Computer,Java;OOP,Software,9.0,Onsite,Chennai
106,Cyber Security Intern,IT,Linux;Networking,Security,6.0,Remote,Delhi
107,Cloud Intern,Electronics,AWS;Linux,Cloud,6.5,Hybrid,Noida
108,Android Developer Intern,Mechanical,Java;Kotlin,Mobile,7.0,Onsite,Ahmedabad
109,UI/UX Intern,Civil,Figma;Canva,Design,7.5,Remote,Kolkata
110,Business Analyst Intern,Electrical,Excel;SQL;Power BI,Analytics,8.0,Hybrid,Nagpur
111,AI Intern,AI & DS,Python;Machine Learning;Pandas,AI,8.5,Onsite,Pune
112,Data Analyst Intern,ECE,Python;SQL;Excel,Analytics,9.0,Remote,Mumbai
113,Python Developer Intern,Computer,Python;OOP,Software,6.0,Hybrid,Bengaluru
114,Web Developer Intern,IT,HTML;CSS;JavaScript,Web,6.5,Onsite,Hyderabad
115,Java Developer Intern,Electronics,Java;OOP,Software,7.0,Remote,Chennai
116,Cyber Security Intern,Mechanical,Linux;Networking,Security,7.5,Hybrid,Delhi
117,Cloud Intern,Civil,AWS;Linux,Cloud,8.0,Onsite,Noida
118,Android Developer Intern,Electrical,Java;Kotlin,Mobile,8.5,Remote,Ahmedabad
119,UI/UX Intern,AI & DS,Figma;Canva,Design,9.0,Hybrid,Kolkata
120,Business Analyst Intern,ECE,Excel;SQL;Power BI,Analytics,6.0,Onsite,Nagpur
121,AI Intern,Computer,Python;Machine Learning;Pandas,AI,6.5,Remote,Pune
122,Data Analyst Intern,IT,Python;SQL;Excel,Analytics,7.0,Hybrid,Mumbai
123,Python Developer Intern,Electronics,Python;OOP,Software,7.5,Onsite,Bengaluru
124,Web Developer Intern,Mechanical,HTML;CSS;JavaScript,Web,8.0,Remote,Hyderabad
125,Java Developer Intern,Civil,Java;OOP,Software,8.5,Hybrid,Chennai
126,Cyber Security Intern,Electrical,Linux;Networking,Security,9.0,Onsite,Delhi
127,Cloud Intern,AI & DS,AWS;Linux,Cloud,6.0,Remote,Noida
128,Android Developer Intern,ECE,Java;Kotlin,Mobile,6.5,Hybrid,Ahmedabad
129,UI/UX Intern,Computer,Figma;Canva,Design,7.0,Onsite,Kolkata
130,Business Analyst Intern,IT,Excel;SQL;Power BI,Analytics,7.5,Remote,Nagpur
131,AI Intern,Electronics,Python;Machine Learning;Pandas,AI,8.0,Hybrid,Pune
132,Data Analyst Intern,Mechanical,Python;SQL;Excel,Analytics,8.5,Onsite,Mumbai
133,Python Developer Intern,Civil,Python;OOP,Software,9.0,Remote,Bengaluru
134,Web Developer Intern,Electrical,HTML;CSS;JavaScript,Web,6.0,Hybrid,Hyderabad
135,Java Developer Intern,AI & DS,Java;OOP,Software,6.5,Onsite,Chennai
136,Cyber Security Intern,ECE,Linux;Networking,Security,7.0,Remote,Delhi
137,Cloud Intern,Computer,AWS;Linux,Cloud,7.5,Hybrid,Noida
138,Android Developer Intern,IT,Java;Kotlin,Mobile,8.0,Onsite,Ahmedabad
139,UI/UX Intern,Electronics,Figma;Canva,Design,8.5,Remote,Kolkata
140,Business Analyst Intern,Mechanical,Excel;SQL;Power BI,Analytics,9.0,Hybrid,Nagpur
141,AI Intern,Civil,Python;Machine Learning;Pandas,AI,6.0,Onsite,Pune
142,Data Analyst Intern,Electrical,Python;SQL;Excel,Analytics,6.5,Remote,Mumbai
143,Python Developer Intern,AI & DS,Python;OOP,Software,7.0,Hybrid,Bengaluru
144,Web Developer Intern,ECE,HTML;CSS;JavaScript,Web,7.5,Onsite,Hyderabad
145,Java Developer Intern,Computer,Java;OOP,Software,8.0,Remote,Chennai
146,Cyber Security Intern,IT,Linux;Networking,Security,8.5,Hybrid,Delhi
147,Cloud Intern,Electronics,AWS;Linux,Cloud,9.0,Onsite,Noida
148,Android Developer Intern,Mechanical,Java;Kotlin,Mobile,6.0,Remote,Ahmedabad
149,UI/UX Intern,Civil,Figma;Canva,Design,6.5,Hybrid,Kolkata
150,Business Analyst Intern,Electrical,Excel;SQL;Power BI,Analytics,7.0,Onsite,Nagpur
151,AI Intern,AI & DS,Python;Machine Learning;Pandas,AI,7.5,Remote,Pune
152,Data Analyst Intern,ECE,Python;SQL;Excel,Analytics,8.0,Hybrid,Mumbai
153,Python Developer Intern,Computer,Python;OOP,Software,8.5,Onsite,Bengaluru
154,Web Developer Intern,IT,HTML;CSS;JavaScript,Web,9.0,Remote,Hyderabad
155,Java Developer Intern,Electronics,Java;OOP,Software,6.0,Hybrid,Chennai
156,Cyber Security Intern,Mechanical,Linux;Networking,Security,6.5,Onsite,Delhi
157,Cloud Intern,Civil,AWS;Linux,Cloud,7.0,Remote,Noida
158,Android Developer Intern,Electrical,Java;Kotlin,Mobile,7.5,Hybrid,Ahmedabad
159,UI/UX Intern,AI & DS,Figma;Canva,Design,8.0,Onsite,Kolkata
160,Business Analyst Intern,ECE,Excel;SQL;Power BI,Analytics,8.5,Remote,Nagpur
161,AI Intern,Computer,Python;Machine Learning;Pandas,AI,9.0,Hybrid,Pune
162,Data Analyst Intern,IT,Python;SQL;Excel,Analytics,6.0,Onsite,Mumbai
163,Python Developer Intern,Electronics,Python;OOP,Software,6.5,Remote,Bengaluru
164,Web Developer Intern,Mechanical,HTML;CSS;JavaScript,Web,7.0,Hybrid,Hyderabad
165,Java Developer Intern,Civil,Java;OOP,Software,7.5,Onsite,Chennai
166,Cyber Security Intern,Electrical,Linux;Networking,Security,8.0,Remote,Delhi
167,Cloud Intern,AI & DS,AWS;Linux,Cloud,8.5,Hybrid,Noida
168,Android Developer Intern,ECE,Java;Kotlin,Mobile,9.0,Onsite,Ahmedabad
169,UI/UX Intern,Computer,Figma;Canva,Design,6.0,Remote,Kolkata
170,Business Analyst Intern,IT,Excel;SQL;Power BI,Analytics,6.5,Hybrid,Nagpur
171,AI Intern,Electronics,Python;Machine Learning;Pandas,AI,7.0,Onsite,Pune
172,Data Analyst Intern,Mechanical,Python;SQL;Excel,Analytics,7.5,Remote,Mumbai
173,Python Developer Intern,Civil,Python;OOP,Software,8.0,Hybrid,Bengaluru
174,Web Developer Intern,Electrical,HTML;CSS;JavaScript,Web,8.5,Onsite,Hyderabad
175,Java Developer Intern,AI & DS,Java;OOP,Software,9.0,Remote,Chennai
176,Cyber Security Intern,ECE,Linux;Networking,Security,6.0,Hybrid,Delhi
177,Cloud Intern,Computer,AWS;Linux,Cloud,6.5,Onsite,Noida
178,Android Developer Intern,IT,Java;Kotlin,Mobile,7.0,Remote,Ahmedabad
179,UI/UX Intern,Electronics,Figma;Canva,Design,7.5,Hybrid,Kolkata
180,Business Analyst Intern,Mechanical,Excel;SQL;Power BI,Analytics,8.0,Onsite,Nagpur
181,AI Intern,Civil,Python;Machine Learning;Pandas,AI,8.5,Remote,Pune
182,Data Analyst Intern,Electrical,Python;SQL;Excel,Analytics,9.0,Hybrid,Mumbai
183,Python Developer Intern,AI & DS,Python;OOP,Software,6.0,Onsite,Bengaluru
184,Web Developer Intern,ECE,HTML;CSS;JavaScript,Web,6.5,Remote,Hyderabad
185,Java Developer Intern,Computer,Java;OOP,Software,7.0,Hybrid,Chennai
186,Cyber Security Intern,IT,Linux;Networking,Security,7.5,Onsite,Delhi
187,Cloud Intern,Electronics,AWS;Linux,Cloud,8.0,Remote,Noida
188,Android Developer Intern,Mechanical,Java;Kotlin,Mobile,8.5,Hybrid,Ahmedabad
189,UI/UX Intern,Civil,Figma;Canva,Design,9.0,Onsite,Kolkata
190,Business Analyst Intern,Electrical,Excel;SQL;Power BI,Analytics,6.0,Remote,Nagpur
191,AI Intern,AI & DS,Python;Machine Learning;Pandas,AI,6.5,Hybrid,Pune
192,Data Analyst Intern,ECE,Python;SQL;Excel,Analytics,7.0,Onsite,Mumbai
193,Python Developer Intern,Computer,Python;OOP,Software,7.5,Remote,Bengaluru
194,Web Developer Intern,IT,HTML;CSS;JavaScript,Web,8.0,Hybrid,Hyderabad
195,Java Developer Intern,Electronics,Java;OOP,Software,8.5,Onsite,Chennai
196,Cyber Security Intern,Mechanical,Linux;Networking,Security,9.0,Remote,Delhi
197,Cloud Intern,Civil,AWS;Linux,Cloud,6.0,Hybrid,Noida
198,Android Developer Intern,Electrical,Java;Kotlin,Mobile,6.5,Onsite,Ahmedabad
199,UI/UX Intern,AI & DS,Figma;Canva,Design,7.0,Remote,Kolkata
200,Business Analyst Intern,ECE,Excel;SQL;Power BI,Analytics,7.5,Hybrid,Nagpur
201,AI Intern,Computer,Python;Machine Learning;Pandas,AI,8.0,Onsite,Pune
202,Data Analyst Intern,IT,Python;SQL;Excel,Analytics,8.5,Remote,Mumbai
203,Python Developer Intern,Electronics,Python;OOP,Software,9.0,Hybrid,Bengaluru
204,Web Developer Intern,Mechanical,HTML;CSS;JavaScript,Web,6.0,Onsite,Hyderabad
205,Java Developer Intern,Civil,Java;OOP,Software,6.5,Remote,Chennai
206,Cyber Security Intern,Electrical,Linux;Networking,Security,7.0,Hybrid,Delhi
207,Cloud Intern,AI & DS,AWS;Linux,Cloud,7.5,Onsite,Noida
208,Android Developer Intern,ECE,Java;Kotlin,Mobile,8.0,Remote,Ahmedabad
209,UI/UX Intern,Computer,Figma;Canva,Design,8.5,Hybrid,Kolkata
210,Business Analyst Intern,IT,Excel;SQL;Power BI,Analytics,9.0,Onsite,Nagpur
211,AI Intern,Electronics,Python;Machine Learning;Pandas,AI,6.0,Remote,Pune
212,Data Analyst Intern,Mechanical,Python;SQL;Excel,Analytics,6.5,Hybrid,Mumbai
213,Python Developer Intern,Civil,Python;OOP,Software,7.0,Onsite,Bengaluru
214,Web Developer Intern,Electrical,HTML;CSS;JavaScript,Web,7.5,Remote,Hyderabad
215,Java Developer Intern,AI & DS,Java;OOP,Software,8.0,Hybrid,Chennai
216,Cyber Security Intern,ECE,Linux;Networking,Security,8.5,Onsite,Delhi
217,Cloud Intern,Computer,AWS;Linux,Cloud,9.0,Remote,Noida
218,Android Developer Intern,IT,Java;Kotlin,Mobile,6.0,Hybrid,Ahmedabad
219,UI/UX Intern,Electronics,Figma;Canva,Design,6.5,Onsite,Kolkata
220,Business Analyst Intern,Mechanical,Excel;SQL;Power BI,Analytics,7.0,Remote,Nagpur
221,AI Intern,Civil,Python;Machine Learning;Pandas,AI,7.5,Hybrid,Pune
222,Data Analyst Intern,Electrical,Python;SQL;Excel,Analytics,8.0,Onsite,Mumbai
223,Python Developer Intern,AI & DS,Python;OOP,Software,8.5,Remote,Bengaluru
224,Web Developer Intern,ECE,HTML;CSS;JavaScript,Web,9.0,Hybrid,Hyderabad
225,Java Developer Intern,Computer,Java;OOP,Software,6.0,Onsite,Chennai
226,Cyber Security Intern,IT,Linux;Networking,Security,6.5,Remote,Delhi
227,Cloud Intern,Electronics,AWS;Linux,Cloud,7.0,Hybrid,Noida
228,Android Developer Intern,Mechanical,Java;Kotlin,Mobile,7.5,Onsite,Ahmedabad
229,UI/UX Intern,Civil,Figma;Canva,Design,8.0,Remote,Kolkata
230,Business Analyst Intern,Electrical,Excel;SQL;Power BI,Analytics,8.5,Hybrid,Nagpur
231,AI Intern,AI & DS,Python;Machine Learning;Pandas,AI,9.0,Onsite,Pune
232,Data Analyst Intern,ECE,Python;SQL;Excel,Analytics,6.0,Remote,Mumbai
233,Python Developer Intern,Computer,Python;OOP,Software,6.5,Hybrid,Bengaluru
234,Web Developer Intern,IT,HTML;CSS;JavaScript,Web,7.0,Onsite,Hyderabad
235,Java Developer Intern,Electronics,Java;OOP,Software,7.5,Remote,Chennai
236,Cyber Security Intern,Mechanical,Linux;Networking,Security,8.0,Hybrid,Delhi
237,Cloud Intern,Civil,AWS;Linux,Cloud,8.5,Onsite,Noida
238,Android Developer Intern,Electrical,Java;Kotlin,Mobile,9.0,Remote,Ahmedabad
239,UI/UX Intern,AI & DS,Figma;Canva,Design,6.0,Hybrid,Kolkata
240,Business Analyst Intern,ECE,Excel;SQL;Power BI,Analytics,6.5,Onsite,Nagpur
241,AI Intern,Computer,Python;Machine Learning;Pandas,AI,7.0,Remote,Pune
242,Data Analyst Intern,IT,Python;SQL;Excel,Analytics,7.5,Hybrid,Mumbai
243,Python Developer Intern,Electronics,Python;OOP,Software,8.0,Onsite,Bengaluru
244,Web Developer Intern,Mechanical,HTML;CSS;JavaScript,Web,8.5,Remote,Hyderabad
245,Java Developer Intern,Civil,Java;OOP,Software,9.0,Hybrid,Chennai
246,Cyber Security Intern,Electrical,Linux;Networking,Security,6.0,Onsite,Delhi
247,Cloud Intern,AI & DS,AWS;Linux,Cloud,6.5,Remote,Noida
248,Android Developer Intern,ECE,Java;Kotlin,Mobile,7.0,Hybrid,Ahmedabad
249,UI/UX Intern,Computer,Figma;Canva,Design,7.5,Onsite,Kolkata
250,Business Analyst Intern,IT,Excel;SQL;Power BI,Analytics,8.0,Remote,Nagpur
251,AI Intern,Electronics,Python;Machine Learning;Pandas,AI,8.5,Hybrid,Pune
252,Data Analyst Intern,Mechanical,Python;SQL;Excel,Analytics,9.0,Onsite,Mumbai
253,Python Developer Intern,Civil,Python;OOP,Software,6.0,Remote,Bengaluru
254,Web Developer Intern,Electrical,HTML;CSS;JavaScript,Web,6.5,Hybrid,Hyderabad
255,Java Developer Intern,AI & DS,Java;OOP,Software,7.0,Onsite,Chennai
256,Cyber Security Intern,ECE,Linux;Networking,Security,7.5,Remote,Delhi
257,Cloud Intern,Computer,AWS;Linux,Cloud,8.0,Hybrid,Noida
258,Android Developer Intern,IT,Java;Kotlin,Mobile,8.5,Onsite,Ahmedabad
259,UI/UX Intern,Electronics,Figma;Canva,Design,9.0,Remote,Kolkata
260,Business Analyst Intern,Mechanical,Excel;SQL;Power BI,Analytics,6.0,Hybrid,Nagpur
261,AI Intern,Civil,Python;Machine Learning;Pandas,AI,6.5,Onsite,Pune
262,Data Analyst Intern,Electrical,Python;SQL;Excel,Analytics,7.0,Remote,Mumbai
263,Python Developer Intern,AI & DS,Python;OOP,Software,7.5,Hybrid,Bengaluru
264,Web Developer Intern,ECE,HTML;CSS;JavaScript,Web,8.0,Onsite,Hyderabad
265,Java Developer Intern,Computer,Java;OOP,Software,8.5,Remote,Chennai
266,Cyber Security Intern,IT,Linux;Networking,Security,9.0,Hybrid,Delhi
267,Cloud Intern,Electronics,AWS;Linux,Cloud,6.0,Onsite,Noida
268,Android Developer Intern,Mechanical,Java;Kotlin,Mobile,6.5,Remote,Ahmedabad
269,UI/UX Intern,Civil,Figma;Canva,Design,7.0,Hybrid,Kolkata
270,Business Analyst Intern,Electrical,Excel;SQL;Power BI,Analytics,7.5,Onsite,Nagpur
271,AI Intern,AI & DS,Python;Machine Learning;Pandas,AI,8.0,Remote,Pune
272,Data Analyst Intern,ECE,Python;SQL;Excel,Analytics,8.5,Hybrid,Mumbai
273,Python Developer Intern,Computer,Python;OOP,Software,9.0,Onsite,Bengaluru
274,Web Developer Intern,IT,HTML;CSS;JavaScript,Web,6.0,Remote,Hyderabad
275,Java Developer Intern,Electronics,Java;OOP,Software,6.5,Hybrid,Chennai
276,Cyber Security Intern,Mechanical,Linux;Networking,Security,7.0,Onsite,Delhi
277,Cloud Intern,Civil,AWS;Linux,Cloud,7.5,Remote,Noida
278,Android Developer Intern,Electrical,Java;Kotlin,Mobile,8.0,Hybrid,Ahmedabad
279,UI/UX Intern,AI & DS,Figma;Canva,Design,8.5,Onsite,Kolkata
280,Business Analyst Intern,ECE,Excel;SQL;Power BI,Analytics,9.0,Remote,Nagpur
281,AI Intern,Computer,Python;Machine Learning;Pandas,AI,6.0,Hybrid,Pune
282,Data Analyst Intern,IT,Python;SQL;Excel,Analytics,6.5,Onsite,Mumbai
283,Python Developer Intern,Electronics,Python;OOP,Software,7.0,Remote,Bengaluru
284,Web Developer Intern,Mechanical,HTML;CSS;JavaScript,Web,7.5,Hybrid,Hyderabad
285,Java Developer Intern,Civil,Java;OOP,Software,8.0,Onsite,Chennai
286,Cyber Security Intern,Electrical,Linux;Networking,Security,8.5,Remote,Delhi
287,Cloud Intern,AI & DS,AWS;Linux,Cloud,9.0,Hybrid,Noida
288,Android Developer Intern,ECE,Java;Kotlin,Mobile,6.0,Onsite,Ahmedabad
289,UI/UX Intern,Computer,Figma;Canva,Design,6.5,Remote,Kolkata
290,Business Analyst Intern,IT,Excel;SQL;Power BI,Analytics,7.0,Hybrid,Nagpur
291,AI Intern,Electronics,Python;Machine Learning;Pandas,AI,7.5,Onsite,Pune
292,Data Analyst Intern,Mechanical,Python;SQL;Excel,Analytics,8.0,Remote,Mumbai
293,Python Developer Intern,Civil,Python;OOP,Software,8.5,Hybrid,Bengaluru
294,Web Developer Intern,Electrical,HTML;CSS;JavaScript,Web,9.0,Onsite,Hyderabad
295,Java Developer Intern,AI & DS,Java;OOP,Software,6.0,Remote,Chennai
296,Cyber Security Intern,ECE,Linux;Networking,Security,6.5,Hybrid,Delhi
297,Cloud Intern,Computer,AWS;Linux,Cloud,7.0,Onsite,Noida
298,Android Developer Intern,IT,Java;Kotlin,Mobile,7.5,Remote,Ahmedabad
299,UI/UX Intern,Electronics,Figma;Canva,Design,8.0,Hybrid,Kolkata
300,Business Analyst Intern,Mechanical,Excel;SQL;Power BI,Analytics,8.5,Onsite,Nagpur
301,AI Intern,Civil,Python;Machine Learning;Pandas,AI,9.0,Remote,Pune
302,Data Analyst Intern,Electrical,Python;SQL;Excel,Analytics,6.0,Hybrid,Mumbai
303,Python Developer Intern,AI & DS,Python;OOP,Software,6.5,Onsite,Bengaluru
304,Web Developer Intern,ECE,HTML;CSS;JavaScript,Web,7.0,Remote,Hyderabad
305,Java Developer Intern,Computer,Java;OOP,Software,7.5,Hybrid,Chennai
306,Cyber Security Intern,IT,Linux;Networking,Security,8.0,Onsite,Delhi
307,Cloud Intern,Electronics,AWS;Linux,Cloud,8.5,Remote,Noida
308,Android Developer Intern,Mechanical,Java;Kotlin,Mobile,9.0,Hybrid,Ahmedabad
309,UI/UX Intern,Civil,Figma;Canva,Design,6.0,Onsite,Kolkata
310,Business Analyst Intern,Electrical,Excel;SQL;Power BI,Analytics,6.5,Remote,Nagpur
311,AI Intern,AI & DS,Python;Machine Learning;Pandas,AI,7.0,Hybrid,Pune
312,Data Analyst Intern,ECE,Python;SQL;Excel,Analytics,7.5,Onsite,Mumbai
313,Python Developer Intern,Computer,Python;OOP,Software,8.0,Remote,Bengaluru
314,Web Developer Intern,IT,HTML;CSS;JavaScript,Web,8.5,Hybrid,Hyderabad
315,Java Developer Intern,Electronics,Java;OOP,Software,9.0,Onsite,Chennai
316,Cyber Security Intern,Mechanical,Linux;Networking,Security,6.0,Remote,Delhi
